Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 08/23  16:00:00,3.55087466027332,0.459517053245465,0.000000000000000E+000,0.000000000000000E+000,2.23882880905848,0.552000739534983,2.79082954859346,0.552000739534983,5.102787345145721E-002,1.046631908413857E-002,0.343460405072082,0.340015502012184,0.436095141190248 
 08/23  17:00:00,4.05994529225591,0.533511813657484,0.000000000000000E+000,0.000000000000000E+000,2.51697819330696,0.614924002025572,3.13190219533253,0.614924002025572,6.603607543705420E-002,1.354464782537459E-002,0.420322867033191,0.413064494567770,0.505057933738352 
 08/23  18:00:00,4.07969953517982,0.603437586286866,0.000000000000000E+000,0.000000000000000E+000,2.45424253349717,0.614924002025572,3.06916653552274,0.614924002025572,0.111060674744059,2.277962859333829E-002,0.383154291509830,0.448463368749861,0.572545260729106 
 08/23  19:00:00,3.91786052551589,0.617595936053854,0.000000000000000E+000,0.000000000000000E+000,2.27848815314748,0.585665106112766,2.86415325926025,0.585665106112766,0.216118055394306,4.432793660167091E-002,0.315283878980793,0.462902383218871,0.585708981354021 
 08/23  20:00:00,3.75528291515382,0.579204513997588,0.000000000000000E+000,0.000000000000000E+000,2.00532540771395,0.529006030159649,2.53433143787360,0.529006030159649,0.369201655799319,7.572690476557534E-002,0.282131553876513,0.478816350778802,0.546221328254080 
 08/23  21:00:00,3.52699373028709,0.530870682373676,0.000000000000000E+000,0.000000000000000E+000,1.73734435615119,0.468180400428996,2.20552475658018,0.468180400428996,0.474259036449565,9.727519913454705E-002,0.267221967130982,0.467637758931825,0.498657532094995 
 08/23  22:00:00,2.94480464543872,0.454934849669219,0.000000000000000E+000,0.000000000000000E+000,1.47461410339239,0.406978800179335,1.88159290357173,0.406978800179335,0.354193420564790,7.264856920465887E-002,0.216614189355009,0.404680550682537,0.427058496348707 
 08/23  23:00:00,2.40257464744793,0.374524660191091,0.000000000000000E+000,0.000000000000000E+000,1.24196068518312,0.350213622247149,1.59217430743027,0.350213622247149,0.246134459365500,5.048459408414295E-002,0.147046405988563,0.351659868519450,0.350300627860011 
 08/23  24:00:00,1.84724708477349,0.286879880220446,0.000000000000000E+000,0.000000000000000E+000,0.998319351042992,0.293068661859206,1.29138801290220,0.293068661859206,0.126068843480724,2.585796415425477E-002,9.798097682479152E-002,0.290876275351520,0.266842915729373 
 08/24  01:00:00,1.51922314644762,0.246831790792216,0.000000000000000E+000,0.000000000000000E+000,0.814226087695330,0.248111700506731,1.06233778820206,0.248111700506731,7.504097667905331E-002,1.539165052586057E-002,8.355728931351325E-002,0.267820429667131,0.228383024447354 
 08/24  02:00:00,1.29736189034053,0.236954624211892,0.000000000000000E+000,0.000000000000000E+000,0.671595841714482,0.212764577131247,0.884360418845727,0.212764577131247,5.102787345145721E-002,1.046631908413857E-002,7.171700163401486E-002,0.264715265265193,0.218719756607260 
 08/24  03:00:00,1.15376285568366,0.239547437193423,0.000000000000000E+000,0.000000000000000E+000,0.567040004051043,0.184937049839224,0.751977053890265,0.184937049839224,5.102787345145721E-002,1.046631908413857E-002,6.422752921492920E-002,0.260989067982868,0.221569248077067 
 08/24  04:00:00,1.04349512755928,0.268507531812925,0.000000000000000E+000,0.000000000000000E+000,0.480875134206986,0.161319725003239,0.642194859210224,0.161319725003239,5.102787345145721E-002,1.046631908413857E-002,7.360089274675015E-002,0.251130171006716,0.251208471196800 
 08/24  05:00:00,1.01028906398236,0.403902062782750,0.000000000000000E+000,0.000000000000000E+000,0.419735792815785,0.144665245870091,0.564401038685875,0.144665245870091,5.402951384857650E-002,1.108198483238577E-002,8.546042728064268E-002,0.280241087274882,0.384597701476965 
 08/24  06:00:00,1.16954093210829,0.654681768831749,0.000000000000000E+000,0.000000000000000E+000,0.441267026119700,0.148674154088209,0.589941180207905,0.148674154088209,8.704756486667618E-002,1.785430533523284E-002,0.135831851626414,0.323791018012060,0.632377477694236 
 08/24  07:00:00,1.39865053771928,0.719517596502708,0.000000000000000E+000,0.000000000000000E+000,0.463271599621964,0.152470412089228,0.615742011711190,0.152470412089228,0.153083600405012,3.139895452454353E-002,0.209298719283835,0.344052215734702,0.695817616085192 
