Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 06/07  06:00:00,0.733109595760968,4.84778094675552,0.000000000000000E+000,3.79024178503356,0.000000000000000E+000,0.117266379154280,0.117266379154280,0.117266379154280,8.907869138789609E-002,1.940797724511937E-002,0.135604843471835,0.354639690812237,1.03311239060593 
 06/07  07:00:00,0.910042134699278,5.04159539538348,0.000000000000000E+000,3.85930638028922,0.000000000000000E+000,0.119414301991089,0.119414301991089,0.119414301991089,0.141866023813768,3.090899202867384E-002,0.208909549344490,0.376831241831655,1.15633374067894 
 06/07  08:00:00,0.847456954810210,4.82196228939044,0.000000000000000E+000,3.67646374692014,0.000000000000000E+000,0.113697629286663,0.113697629286663,0.113697629286663,0.105574748444651,2.300204777987350E-002,0.269481467066278,0.318589048543143,1.12355485717378 
 06/07  09:00:00,0.806473309131003,4.77984705476411,0.000000000000000E+000,3.73653053413220,0.000000000000000E+000,0.115478106784210,0.115478106784210,0.115478106784210,5.938579704502768E-002,1.293865028256194E-002,0.330413698414181,0.271145042915422,1.02464066997521 
 06/07  10:00:00,0.820002878441725,4.63623631790478,0.000000000000000E+000,3.70908848359997,0.000000000000000E+000,0.114700192892430,0.114700192892430,0.114700192892430,5.278737422232559E-002,1.150102206866029E-002,0.346380350176442,0.277521925392267,0.908032758562142 
 06/07  11:00:00,0.826766039065277,4.41852732895045,0.000000000000000E+000,3.59576611904659,0.000000000000000E+000,0.111161338137780,0.111161338137780,0.111161338137780,4.948816281097469E-002,1.078220978298593E-002,0.360615364151980,0.277606950491958,0.803640277826713 
 06/07  12:00:00,0.809065084431464,4.25877808833230,0.000000000000000E+000,3.51780353937030,0.000000000000000E+000,0.108743609491487,0.108743609491487,0.108743609491487,4.948816281097469E-002,1.078220978298593E-002,0.350008518647474,0.272930570008939,0.722175715281243 
 06/07  13:00:00,0.786121856167887,4.16585773478966,0.000000000000000E+000,3.47241040682955,0.000000000000000E+000,0.107347235523860,0.107347235523860,0.107347235523860,4.948816281097469E-002,1.078220978298593E-002,0.319023878285798,0.282368356074668,0.673998441152097 
 06/07  14:00:00,0.775813000792662,4.07305391858067,0.000000000000000E+000,3.42642743971901,0.000000000000000E+000,0.105933085695059,0.105933085695059,0.105933085695059,4.948816281097469E-002,1.078220978298593E-002,0.294229479097109,0.298268049716935,0.626082457505843 
 06/07  15:00:00,0.802903368649025,4.07045219789046,0.000000000000000E+000,3.41650690453736,0.000000000000000E+000,0.105628893107719,0.105628893107719,0.105628893107719,5.278737422232559E-002,1.150102206866029E-002,0.301026121403993,0.314847944156729,0.632259286773705 
